time,d1,d2,d3,d4,d5,d6
0.1,43.3552520628786,45.4267596551505,42.0387234025619,70.710929655533,53.0133906054593,56.8176557422035
0.2,56.6604791603217,48.1097883706885,78.6443248162724,43.469429767389,46.575652886796,45.661827783168
0.3,42.0894561259102,56.9906164284364,54.5465752224339,55.8117882556619,49.4681077561192,48.1805998301361
0.4,53.2107627807946,46.6728064305484,59.1362220894127,50.919918948839,57.7322979495034,48.789383367379
0.5,57.1633909834924,63.0375235231355,58.3598064233486,52.1631815865233,46.9527381516382,52.6226824910914
0.6,50.1331169870211,44.2244520284106,48.5670236591835,18.9818333357505,54.1530216901057,50.8685150962875
0.7,45.4351472464489,59.5818282255418,42.4237829245136,51.3419044212409,47.1941865495895,48.6895768284515
0.8,47.943926971529,34.6144316491999,38.6502666540281,49.1670275809228,40.539910775767,58.0998800881877
0.9,44.8931252866339,53.5638972933403,59.9513007818166,21.4770764164544,56.8221653703735,54.4560920824737
1,59.3056347375577,57.1256285033201,27.743160782902,72.7710247077517,47.7112717708063,55.8363444281072
1.1,47.8099103198015,65.3110644909565,51.4396252990956,22.2610072257265,49.837121199035,56.292969755758
1.2,50.5799827260647,35.6203761700925,35.797940138972,68.739256933503,56.3875244818968,54.5224558680914
1.3,44.0292921555625,54.273845295648,39.6651326177079,64.1367381344331,57.0657637084793,52.5666376470419
1.4,52.6007199245547,38.1426310948244,35.1964884730225,81.6946489785775,46.7267651883558,43.7193443053595
1.5,51.0855898227949,37.8837190170986,39.0551513360838,69.8291522370641,53.3462507203977,57.5114326452014
1.6,43.1973738196057,45.534745653636,50.8254894470208,63.4885733913012,50.6846728066748,56.7790509833903
1.7,54.5946236949665,49.2677738287931,52.0369733120691,72.4084034245778,47.2656253311497,55.2045366386276
1.8,54.0489981440433,36.4973620930567,49.7551458888485,47.1837888412512,51.8003225179065,49.1615425723014
1.9,49.1047204001794,52.4123682342611,53.5255511133045,49.0349741946916,51.993410630126,58.8695681242568
2,57.223241334821,35.2731438808543,54.8488201772876,53.8742130386401,49.4921158985496,43.2006629335254
2.1,49.2747438203767,51.8602514331205,51.9855452763936,52.8256227093041,52.9854181112106,44.1526014869359
2.2,53.9632623378216,56.3122644137057,53.8005481063247,73.9990006551512,47.9045896088376,45.9181528997195
2.3,52.9742806568172,50.3491222519161,40.9088351151727,64.8175082743035,45.9640254580737,50.9641148503756
2.4,53.5148135175787,42.1563626737222,48.6759928094432,84.1058599773062,51.4089738994817,51.7719661176896
2.5,48.7924365280439,53.9215632411091,47.1021207601153,88.0982132081446,46.8548183587557,48.5088020920384
2.6,51.0341238051215,55.4969556632503,53.5235453816023,43.0465609263102,59.8577389552543,47.6004977632765
2.7,49.8288108332545,56.7809080906065,33.5537796016476,64.4482182320811,51.0272150677052,44.8475117658986
2.8,57.7182283024044,48.3308348189983,42.1804686398802,23.0517100359013,56.3838151008855,62.4890986791312
2.9,50.6068497658106,53.211637029049,51.85662278949,73.5968218956625,48.0419562291298,56.1894258564515
3,52.9680444064326,56.0630419560085,29.0378935757344,54.8727889004699,49.8451034014701,54.4027059504999
3.1,50.4709911478124,43.2768247011046,69.9607812563692,31.2792757930418,49.1414183707153,45.665152167235
3.2,50.7649642480973,38.9223533673873,56.6108489089334,52.5917691892561,51.0433476887751,44.5729911500121
3.3,46.5876928366877,54.7683364255616,50.0081390408804,51.1158406027134,47.2238633140624,46.8747775428603
3.4,52.704235769289,51.6384707670908,66.1718951639519,41.4841708812156,44.929551996922,54.9383015522456
3.5,53.4759646538438,46.0118700644186,59.8510857583115,36.9721633499905,48.0864502647344,40.7812555152263
3.6,45.8531919199324,33.0609329844914,52.7257402142989,38.181714975287,56.3443064243673,52.7015148178101
3.7,54.3245572754189,51.4496103314984,58.4343045803732,36.0788415706231,55.2396326090821,42.8353105089464
3.8,61.1503412205382,51.9091199835577,60.8539322588766,54.1531196481868,56.678671855828,55.2185518066972
3.9,43.9462860121646,41.3392432045984,44.8888254038093,44.8829471211128,45.3254477172451,47.4782187689292
4,46.8560522070882,45.5174718050131,54.3089349530328,45.2258676224538,49.1897721148048,44.9857417557864
4.1,46.5080476622404,48.7674418149278,69.4133717955163,23.0910500579415,50.6734901028496,47.7294152427993
4.2,49.3384105969766,54.0192220390738,34.1726822892177,27.9333399701401,41.603042536645,43.7697872530451
4.3,48.3640779112521,43.8287053788071,25.0159390837824,63.2037332884795,52.1903888669817,52.0638368386433
4.4,46.4999805640197,55.408900748995,52.7920705716853,35.9906217437268,48.9709729516474,50.5082959280109
4.5,54.0941323065987,64.9026994505132,57.7468785391541,35.0734339480147,56.371586716813,56.7966218650991
4.6,44.0179443697562,64.1012374410511,55.9993136478687,37.33355831195,44.299019100246,48.8167776181493
4.7,56.0146958183746,42.0225306516273,54.3338505962685,59.9073677777727,44.8748856347906,44.2413665159227
4.8,47.6816480176668,48.6405890113019,46.7348025543771,44.4747056662363,53.2688506243458,45.7445254037299
4.9,48.4101799698223,47.0972930075654,63.1488856615438,52.0854258998539,57.6489359168336,48.085729623877
5,58.2330041916855,46.0004056781847,69.1608374243014,56.5211434570915,43.5620443160905,48.4502728281086
5.1,45.2082848680395,59.2670880680422,33.003385095672,48.1339262389271,56.4167961559861,47.705267955047
5.2,46.395005103176,57.7702049964309,59.103406181258,82.577353243078,49.409599439188,56.9704307932782
5.3,56.0774145332685,55.6504684202248,42.8275961086643,45.6112423146291,54.9083918312413,51.8436435420694
5.4,53.7506741005399,28.9569711857493,43.2480658962685,61.3505576438738,51.9136852338284,43.2010350839167
5.5,53.0640587960698,60.3857368897542,59.0770866506481,52.5475050974712,49.2904368567128,43.4220899974798
5.6,46.2497167728869,60.1792057256112,51.6906444021128,38.0109394975598,58.2126435746535,43.4011632291335
5.7,53.6127565868803,42.4386996530968,34.4837777052202,38.591970962324,49.5245943725365,46.5557353130353
5.8,52.7497167459158,72.2433941804549,37.0467119931283,-1.97208105979612,48.6362391383273,52.8471200735088
5.9,58.510858887873,69.434871144829,67.3268752253662,50.1033359389914,51.1284453659626,39.2781859538652
6,41.1544335870488,54.3295380488852,56.5290035291591,37.6676339782909,61.2828221763326,42.7772529247646
6.1,44.1429851895321,56.6780534046989,61.28062831261,82.8260586329049,48.1827261401669,53.8414385894773
6.2,52.0690398967584,51.076866084897,47.3558393377632,66.2058272845991,46.6042584020844,43.149588621126
6.3,51.9594937052681,56.8192903502191,43.6705870379158,56.189218658618,49.3532619442281,56.5455987742126
6.4,53.4783819445447,54.1549716125596,39.31001370063,86.3827643670657,51.0269299473423,56.3282523937262
6.5,49.5829977762879,44.7939738248989,45.6103791034313,24.1859399665895,56.0144658188306,46.9833439762653
6.6,53.4530113389611,54.6854800723808,45.1690452473364,37.4030502985059,41.7386646211706,47.3381269398899
6.7,54.2515142925423,39.3677731271068,49.5172034717033,83.0069696286413,51.6514382272926,36.5690831704956
6.8,47.0474880072121,42.5608505327183,36.6222853814522,33.8868373916213,42.357221408981,51.0245935433627
6.9,51.5926795416245,49.1840924132783,62.2385978318552,69.047616138676,57.4293618240417,44.1407712248172
7,45.7101413100929,51.6884445543876,44.8175609465789,98.9063987709315,52.4003588269185,50.7905755247464
7.1,51.5848607719177,52.3288178882126,47.2613800196877,81.7234690125512,45.6406080241661,46.8225909017404
7.2,48.2255645491413,37.5425917481213,46.0650668113039,37.294432271721,55.2146884838663,57.2781500260927
7.3,58.2217587927066,52.7154684025033,45.8070639818555,40.4894605644851,45.7758941348219,50.7994336907953
7.4,47.3639446562886,41.7309474202103,50.2022695163436,42.3293079753902,50.3751590753179,49.795126131057
7.5,47.8890400373207,55.2213563281709,40.6842207980337,54.7712060909493,43.3985287558517,49.0856503110527
7.6,50.14363820092,51.1569557262203,45.3281685616085,59.9959563837625,49.6652880195772,51.307039596514
7.7,36.9799775236925,43.0618791179411,50.2942013641275,39.719742119103,48.2203420827475,49.9734922736214
7.8,45.9200744596818,42.4516870957709,63.5056672686815,44.9164012526831,58.486663040225,51.4468080036149
